Topics,Alpha,Decay,Chunksize,Passes,Coherence
7,0.61,0.4,2500,1,0.5310868135679622
7,0.61,0.4,2500,5,0.4819506388536456
7,0.61,0.4,2500,10,0.469969810693908
7,0.61,0.5,1500,1,0.5232278196175254
7,0.61,0.5,1500,5,0.4698724575093142
7,0.61,0.5,1500,10,0.4564372493630341
7,0.61,0.5,2000,1,0.5125177179350638
7,0.61,0.5,2000,5,0.4850686070765781
7,0.61,0.5,2000,10,0.4494276570572784
7,0.61,0.5,2500,1,0.5355487200973233
7,0.61,0.5,2500,5,0.4801848207494421
7,0.61,0.5,2500,10,0.47264494663635537
7,0.61,0.6000000000000001,1500,1,0.5294567277944701
7,0.61,0.6000000000000001,1500,5,0.47056068139046087
7,0.61,0.6000000000000001,1500,10,0.4615262398941395
7,0.61,0.6000000000000001,2000,1,0.5122357075880049
7,0.61,0.6000000000000001,2000,5,0.5100276362015927
7,0.61,0.6000000000000001,2000,10,0.46317795473150636
7,0.61,0.6000000000000001,2500,1,0.542220024284062
7,0.61,0.6000000000000001,2500,5,0.5106918558732744
7,0.61,0.6000000000000001,2500,10,0.4853665189653131
7,0.61,0.7000000000000002,1500,1,0.517115199705674
7,0.61,0.7000000000000002,1500,5,0.5101811682515346
7,0.61,0.7000000000000002,1500,10,0.4676343308759371
7,0.61,0.7000000000000002,2000,1,0.5173483172747932
7,0.61,0.7000000000000002,2000,5,0.515050570353486
7,0.61,0.7000000000000002,2000,10,0.4747527631547513
7,0.61,0.7000000000000002,2500,1,0.5453864180711229
7,0.61,0.7000000000000002,2500,5,0.543387361594574
7,0.61,0.7000000000000002,2500,10,0.49067535060841555
7,0.9099999999999999,0.3,1500,1,0.5824213725166132
7,0.9099999999999999,0.3,1500,5,0.478066005513227
7,0.9099999999999999,0.3,1500,10,0.46952943329814206
7,0.9099999999999999,0.3,2000,1,0.561943473642215
7,0.9099999999999999,0.3,2000,5,0.4879194718491982
7,0.9099999999999999,0.3,2000,10,0.4525139913504846
7,0.9099999999999999,0.3,2500,1,0.5574169237393223
7,0.9099999999999999,0.3,2500,5,0.49555681755169223
7,0.9099999999999999,0.3,2500,10,0.43476215697101733
7,0.9099999999999999,0.4,1500,1,0.5440616598745217
7,0.9099999999999999,0.4,1500,5,0.4733888911838968
7,0.9099999999999999,0.4,1500,10,0.4577899506134669
7,0.9099999999999999,0.4,2000,1,0.5251121485743625
7,0.9099999999999999,0.4,2000,5,0.49934240422108145
7,0.9099999999999999,0.4,2000,10,0.46993532041141517
7,0.9099999999999999,0.4,2500,1,0.5343415067845702
7,0.9099999999999999,0.4,2500,5,0.5120059094037167
7,0.9099999999999999,0.4,2500,10,0.45560213345403805
7,0.9099999999999999,0.5,1500,1,0.5347264643183107
7,0.9099999999999999,0.5,1500,5,0.5162156074705031
7,0.9099999999999999,0.5,1500,10,0.47066251790072844
7,0.9099999999999999,0.5,2000,1,0.5123029021151361
7,0.9099999999999999,0.5,2000,5,0.5082112139981465
7,0.9099999999999999,0.5,2000,10,0.46460049925092234
7,0.9099999999999999,0.5,2500,1,0.5369289034247526
7,0.9099999999999999,0.5,2500,5,0.5044929234920237
7,0.9099999999999999,0.5,2500,10,0.47585236233476164
7,0.9099999999999999,0.6000000000000001,1500,1,0.5281974172445377
7,0.9099999999999999,0.6000000000000001,1500,5,0.5349406159051913
7,0.9099999999999999,0.6000000000000001,1500,10,0.469531257023834
7,0.9099999999999999,0.6000000000000001,2000,1,0.511696377023236
7,0.9099999999999999,0.6000000000000001,2000,5,0.5125546098517134
7,0.9099999999999999,0.6000000000000001,2000,10,0.4762859298572345
7,0.9099999999999999,0.6000000000000001,2500,1,0.5470952724872137
7,0.9099999999999999,0.6000000000000001,2500,5,0.5153969456051993
7,0.9099999999999999,0.6000000000000001,2500,10,0.5022654285248688
7,0.9099999999999999,0.7000000000000002,1500,1,0.5200542112289135
7,0.9099999999999999,0.7000000000000002,1500,5,0.5443273165665593
7,0.9099999999999999,0.7000000000000002,1500,10,0.47659750431077397
7,0.9099999999999999,0.7000000000000002,2000,1,0.5131706556102882
7,0.9099999999999999,0.7000000000000002,2000,5,0.512944899097013
7,0.9099999999999999,0.7000000000000002,2000,10,0.5195357716221971
7,0.9099999999999999,0.7000000000000002,2500,1,0.5543120148874321
7,0.9099999999999999,0.7000000000000002,2500,5,0.5336054627667591
7,0.9099999999999999,0.7000000000000002,2500,10,0.49939568388920114
7,symmetric,0.3,1500,1,0.5017196345240655
7,symmetric,0.3,1500,5,0.47837952769628433
7,symmetric,0.3,1500,10,0.4728892190828513
7,symmetric,0.3,2000,1,0.4872646167082723
7,symmetric,0.3,2000,5,0.4887408404435164
7,symmetric,0.3,2000,10,0.49625304259316877
7,symmetric,0.3,2500,1,0.48745486450703057
7,symmetric,0.3,2500,5,0.47814735014737975
7,symmetric,0.3,2500,10,0.47623699313467266
7,symmetric,0.4,1500,1,0.5093567739073674
7,symmetric,0.4,1500,5,0.47719960804116035
7,symmetric,0.4,1500,10,0.4766931512271936
7,symmetric,0.4,2000,1,0.5027954317736263
7,symmetric,0.4,2000,5,0.49056849933913277
7,symmetric,0.4,2000,10,0.4908061802383839
